boro,puma2010,pumaname10,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Bronx,3710,"Bronx CD 01 & 02 - Hunts Point, Longwood & Melrose",530,729,1120,493,123,283,319,382,218,1018,925,1315,2134,928,4017,494,223,49995,49995,56721,56721
Manhattan,3802,"Manhattan CD 09 - Hamilton Heights, Manhattanville & West Harlem",92,78,97,28,9,165,-10,580,31,-4,263,391,482,-5,976,392,35,51212,51212,52854,52854
Manhattan,3803,Manhattan CD 10 - Central Harlem,498,650,616,198,62,344,22,317,148,105,322,716,597,308,1253,101,217,57011,57011,60359,60359
Manhattan,3806,Manhattan CD 07 - Upper West Side & West Side,827,1228,67,249,57,252,296,836,303,251,1298,0,288,-247,404,396,231,113906,113906,118342,118342
Manhattan,3808,"Manhattan CD 06 - Murray Hill, Gramercy & Stuyvesant Town",150,224,133,-115,5,284,145,1253,689,798,711,13,682,8,1476,337,394,97317,97317,101383,101383
Manhattan,3809,Manhattan CD 03 - Chinatown & Lower East Side,510,576,122,81,182,422,71,294,656,1433,448,319,1005,542,769,319,366,76064,76064,80602,80602
Manhattan,3810,"Manhattan CD 01 & 02 - Battery Park City, Greenwich Village & Soho",661,692,1359,413,383,-24,1096,1509,784,1277,719,726,909,-25,2419,576,446,90261,90261,99164,99164
Queens,4102,Queens CD 03 - Jackson Heights & North Corona,240,273,201,158,179,88,18,89,62,61,57,84,140,151,857,127,289,59041,60596,60278,61833
Queens,4109,Queens CD 02 - Sunnyside & Woodside,271,306,353,850,2156,1043,980,1274,2835,2929,1452,361,3715,945,6882,1087,1483,55172,55927,69676,70431
Queens,4104,"Queens CD 11 - Bayside, Douglaston & Little Neck",73,115,134,50,77,81,34,17,47,43,70,74,161,48,190,106,133,45800,45800,46500,46500
Queens,4112,"Queens CD 12 - Jamaica, Hollis & St. Albans",304,722,177,165,111,321,156,101,113,864,375,917,1531,832,2565,489,529,75185,75185,78789,78789
Staten Island,3902,Staten Is. CD 02 - New Springville & South Beach,83,117,101,127,19,113,144,114,78,366,146,108,555,19,234,45,135,50814,50814,52213,52213
Brooklyn,4017,Brooklyn CD 11 - Bensonhurst & Bath Beach,161,213,106,46,102,36,39,89,52,184,127,62,164,102,751,154,119,72288,72288,73292,73292
Brooklyn,4006,Brooklyn CD 08 - Crown Heights North & Prospect Heights,171,215,326,564,148,445,286,830,889,753,517,431,1648,554,2484,875,602,54430,54430,59790,59790
Brooklyn,4011,"Brooklyn CD 09 - Crown Heights South, Prospect Lefferts & Wingate",30,34,59,217,207,36,115,820,547,445,873,574,592,420,2362,493,307,42246,42246,46169,46169
Brooklyn,4015,Brooklyn CD 14 - Flatbush & Midwood,295,302,180,10,49,125,17,45,562,339,724,346,466,331,1275,292,139,59734,59734,62426,62426
Brooklyn,4007,Brooklyn CD 16 - Brownsville & Ocean Hill,289,314,406,305,176,110,207,472,581,236,372,568,1175,706,2228,208,198,45137,45137,48859,48859
Brooklyn,4008,Brooklyn CD 05 - East New York & Starrett City,385,401,253,262,222,27,300,398,536,108,270,1024,1648,1014,1832,412,317,55471,55471,59256,59256
Brooklyn,4009,Brooklyn CD 18 - Canarsie & Flatlands,24,54,47,66,3,33,5,29,11,41,31,5,59,60,106,45,170,70885,70885,71180,71180
Queens,4114,"Queens CD 14 - Far Rockaway, Breezy Point & Broad Channel",143,197,158,138,75,102,185,98,244,460,285,148,1570,483,1883,156,200,45250,45250,47286,47286
