boro,bctcb2010,cenblock10,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,total
Staten Island,50170081001.0,360850170081001,,,,,,,,,,,,,,,,,,15,15
Staten Island,50170091001.0,360850170091001,,,,,,,,,,,,,,,,,2.0,9,9
Staten Island,50170111001.0,360850170111001,,,,,,,,,,,,,,,,,,59,59
Staten Island,50170121001.0,360850170121001,,,,,,,,,,,,,,,,,,22,22
Staten Island,50176001001.0,360850176001001,,,,,,,,,,,,,,,,,,0,0
Staten Island,50177001001.0,360850177001001,,,,,,,,,,-1.0,,,,,,,,15,14
Staten Island,50181001001.0,360850181001001,,,,,,,,,,,,,,,,,,0,0
Staten Island,50189011001.0,360850189011001,,,,,,,,,,,,,,,,,,8,8
Staten Island,50197001001.0,360850197001001,,,,,,,,,,,,,,,,,,17,17
Staten Island,50213001001.0,360850213001001,,,,,,,,,,,,,,,,,-1.0,48,48
Staten Island,50239001001.0,360850239001001,,,,,,,,,,,,,,,,,,13,13
Staten Island,50244011001.0,360850244011001,,,,,,,,,,-1.0,2.0,2.0,,,0.0,,,33,36
Staten Island,50273021001.0,360850273021001,,,,,,,0.0,,,,,,,,,,,48,48
Staten Island,50277041001.0,360850277041001,,,,,,,,,,,,,,,,,,105,105
Staten Island,50279001001.0,360850279001001,0.0,0.0,,,,0.0,,,,,,,,,,,,19,19
Staten Island,50303011001.0,360850303011001,,,,,,,,,,,,,,,,,,61,61
Staten Island,50319011001.0,360850319011001,,,,,,,,,,,,,,,,,,20,20
Staten Island,50006001002.0,360850006001002,,,,,,,,,,,,,,,,,,0,0
Staten Island,50009001002.0,360850009001002,,,,,,,,,,,,,,,,,,11,11
Staten Island,50011001002.0,360850011001002,,,,,,,,2.0,,,,,,,,,,60,62
Staten Island,50020011002.0,360850020011002,-1.0,-1.0,,8.0,3.0,1.0,,,,,,,,4.0,,,,253,264
Staten Island,50027001002.0,360850027001002,,,4.0,,0.0,8.0,,,,,,2.0,4.0,,,,,33,47
Staten Island,50040001002.0,360850040001002,,,,,,,,,,,,,,,,,,27,27
Staten Island,50059001002.0,360850059001002,,,,,,,,0.0,0.0,,,,,,,,0.0,35,35
Staten Island,50064001002.0,360850064001002,,,,,,,,,,,-1.0,,,,0.0,,,15,14
Staten Island,50074001002.0,360850074001002,,,,,,,,,,,,,,,,,,18,18
Staten Island,50075001002.0,360850075001002,,,,,,,0.0,,,,1.0,,,,5.0,,,67,68
Staten Island,50077001002.0,360850077001002,,,,,,,,,,,,,1.0,,,,,36,36
Staten Island,50096021002.0,360850096021002,0.0,0.0,,0.0,0.0,,,,,-1.0,2.0,2.0,,,,,0.0,32,35
Staten Island,50112011002.0,360850112011002,,,,,,,,,,,,,,1.0,,,,37,37
Staten Island,50112021002.0,360850112021002,,,,,,,,-1.0,,,1.0,,0.0,,,-1.0,,66,66
Staten Island,50114011002.0,360850114011002,,,,,,,,,,,,0.0,,,1.0,,,29,29
Staten Island,50114021002.0,360850114021002,,,,,,,0.0,,,,,,,,,,,23,23
Staten Island,50121001002.0,360850121001002,,,,,,,,,,,,,,,,,,42,42
Staten Island,50122001002.0,360850122001002,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,30,30
Staten Island,50125001002.0,360850125001002,,,,,,,-1.0,6.0,2.0,,,,,,,,,66,73
Staten Island,50128041002.0,360850128041002,4.0,4.0,,,,,0.0,,,1.0,,,,,1.0,,,82,87
Staten Island,50128061002.0,360850128061002,,,,,,,,,,,,,,,,,0.0,12,12
Staten Island,50132011002.0,360850132011002,,,,,,,,,,,,,,,,,,0,0
Staten Island,50132031002.0,360850132031002,,,,,,,-1.0,,2.0,,,,,,,,,76,77
Staten Island,50132041002.0,360850132041002,,,,,,,,,,,,,,,,,,16,16
Staten Island,50133021002.0,360850133021002,,,,,,,,,,,,-9.0,,,,0.0,-1.0,32,23
Staten Island,50134001002.0,360850134001002,,,,,,-1.0,,,-1.0,,5.0,,,,4.0,,,13,16
Staten Island,50138001002.0,360850138001002,,,,,0.0,0.0,,,,,,,,,,,,11,11
Staten Island,50146051002.0,360850146051002,,,,,,,,,,,,,,,,,,24,24
Staten Island,50146081002.0,360850146081002,,,,,,,,,,,,,,,,,4.0,32,32
Staten Island,50154001002.0,360850154001002,,,,,,,,,,,,,,,,,,0,0
Staten Island,50156021002.0,360850156021002,,,,,,,,,,,,,,,,,,15,15
Staten Island,50156031002.0,360850156031002,,,,,,,,,,,,,,,,,,16,16
Staten Island,50170051002.0,360850170051002,,,,,,,,,,,,2.0,,,0.0,,,34,36
Staten Island,50170071002.0,360850170071002,,,,,,,,,,,,,,,,,,9,9
Staten Island,50170081002.0,360850170081002,,,,,,,,,,,,,,,,,,40,40
Staten Island,50170091002.0,360850170091002,,,,,,,,,,,,,,,0.0,,,11,11
Staten Island,50170111002.0,360850170111002,,,,,,,,,,,,,,,,,,62,62
Staten Island,50170121002.0,360850170121002,,,,,,,,,,,,,,,,,,0,0
Staten Island,50181001002.0,360850181001002,,,,,,,,,,,,,,,,,,0,0
Staten Island,50187011002.0,360850187011002,,,,,,2.0,1.0,,,,0.0,,,,,,,46,49
Staten Island,50189011002.0,360850189011002,,,,,,,,,,,,,,,1.0,,,15,15
Staten Island,50197001002.0,360850197001002,,,,,,,,,,,,,,,,,,17,17
Staten Island,50201001002.0,360850201001002,,,,,,,,,,,,,2.0,,-1.0,,,78,78
Staten Island,50208011002.0,360850208011002,,,,,,,,,,,,,,,,,,0,0
Staten Island,50213001002.0,360850213001002,,,2.0,,,,,,,,,,,,,,,51,53
Staten Island,50223001002.0,360850223001002,-1.0,-1.0,,,,1.0,,,,,,,,,,,,40,40
Staten Island,50244011002.0,360850244011002,,1.0,4.0,,1.0,0.0,,,,,1.0,,,,,,,32,38
Staten Island,50244021002.0,360850244021002,,,,,,,,,,-1.0,,11.0,,,,,,6,16
Staten Island,50251001002.0,360850251001002,,,,,,,,,,,,,,,,,,12,12
Staten Island,50273011002.0,360850273011002,,,,,,,,,,,,,,,,,1.0,115,115
Staten Island,50273021002.0,360850273021002,,,,,,,,,,,,,,,,,,21,21
Staten Island,50279001002.0,360850279001002,,,0.0,0.0,,,,,,,,,,,,,,20,20
Staten Island,50291031002.0,360850291031002,,,,,,,,,,,,,,,,,,84,84
Staten Island,50291041002.0,360850291041002,,,,,,,,,,,,,,,,,,88,88
Staten Island,50303011002.0,360850303011002,,,,,,,,,,,,,,,,,,81,81
Staten Island,50303021002.0,360850303021002,,,,,,,,,,,,,,,,,,45,45
Staten Island,50003001003.0,360850003001003,,,,,,,,,,,,,,,,,,111,111
Staten Island,50009001003.0,360850009001003,,,,,,,,1.0,,,,,,,,,,205,206
Staten Island,50011001003.0,360850011001003,,,,,,,,-2.0,,,-1.0,,2.0,,,,,72,69
Staten Island,50018001003.0,360850018001003,,,,,,,,,,,,,,,,,,0,0
Staten Island,50027001003.0,360850027001003,,,,,,,,,,,,,,,,,,79,79
Staten Island,50029001003.0,360850029001003,,,,,,,,,,,,,,,,,,29,29
Staten Island,50036001003.0,360850036001003,,,,,,,,,,,,,,,,,,19,19
Staten Island,50040001003.0,360850040001003,1.0,1.0,1.0,,,1.0,,4.0,,,,,,,,,,27,34
Staten Island,50059001003.0,360850059001003,,,,,,,,,,,,,,,,,,7,7
Staten Island,50064001003.0,360850064001003,,,,,,,,,,,,,,,,,,7,7
Staten Island,50067001003.0,360850067001003,,,,,0.0,0.0,,,,,,,,,0.0,,,33,33
Staten Island,50074001003.0,360850074001003,,,,,,,2.0,,,,,,,,0.0,,,48,50
Staten Island,50077001003.0,360850077001003,,,,,,,,,,,,,,,,,,41,41
Staten Island,50081001003.0,360850081001003,,,,,,,,,,,,,,,,,,27,27
Staten Island,50096021003.0,360850096021003,,,,,,,-1.0,4.0,0.0,,,,,,,,,38,41
Staten Island,50112011003.0,360850112011003,,,,2.0,,-2.0,5.0,0.0,,,,,,,,,,36,41
Staten Island,50112021003.0,360850112021003,,,,,,,,,,,,,,,,,,18,18
Staten Island,50114011003.0,360850114011003,,,2.0,,,,,,,,,,,,,,0.0,59,61
Staten Island,50114021003.0,360850114021003,,,,,,,,,,,,,,,0.0,,,21,21
Staten Island,50121001003.0,360850121001003,,,,,,,,,,0.0,,,,,,,,24,24
Staten Island,50122001003.0,360850122001003,,,,,,,,,,,,,,,,,,38,38
Staten Island,50125001003.0,360850125001003,,,,,,,,,,,,,,,,,,78,78
Staten Island,50128041003.0,360850128041003,2.0,2.0,,,,,,,,,,,,,,,1.0,69,71
Staten Island,50128061003.0,360850128061003,0.0,0.0,,,,,,,,,,,,,,,,15,15
Staten Island,50132011003.0,360850132011003,,,,,,,,,,,,,,,,,,32,32
Staten Island,50132031003.0,360850132031003,,,,,-2.0,1.0,1.0,,,,,,,,,,,40,40
Staten Island,50132041003.0,360850132041003,,,,,,,0.0,,0.0,,,,,,,,,25,25
Staten Island,50133021003.0,360850133021003,,,,,,,,,,,,,,,,,,10,10
Staten Island,50134001003.0,360850134001003,,,,,,,,,,,,,,,,,,8,8
Staten Island,50138001003.0,360850138001003,,,,,,,-1.0,,,,,0.0,,,2.0,,,17,16
Staten Island,50146051003.0,360850146051003,,,,,,,,,,,,,,,,,,41,41
Staten Island,50146081003.0,360850146081003,,,,,,,,,,,,,,,,,,42,42
Staten Island,50151001003.0,360850151001003,,,,,,,,,,,,,,,,,,34,34
Staten Island,50156011003.0,360850156011003,,,,,,,,,,,,,,,,,,27,27
Staten Island,50156021003.0,360850156021003,,,,,,,,,,,,,,,,,,28,28
Staten Island,50169011003.0,360850169011003,,,,,,,,,,,,,,,,,,8,8
Staten Island,50170051003.0,360850170051003,,,,,,,,,,0.0,4.0,6.0,,2.0,1.0,,0.0,24,34
Staten Island,50170071003.0,360850170071003,,,,,,,,,,,,,,,,,,10,10
Staten Island,50170111003.0,360850170111003,,,,,,,,,0.0,,,,,,,,,84,84
Staten Island,50170121003.0,360850170121003,,,,,,,,-1.0,5.0,,-1.0,3.0,,,1.0,,,29,35
Staten Island,50173001003.0,360850173001003,,0.0,,,,,,,,,,,,,,,,22,22
Staten Island,50176001003.0,360850176001003,,,,,,,,1.0,,,4.0,,,,,,,16,21
Staten Island,50187011003.0,360850187011003,,,,,,,,,,,,,,,,,,0,0
Staten Island,50187021003.0,360850187021003,,,,,,,-1.0,2.0,,,,,2.0,,,,,21,22
Staten Island,50197001003.0,360850197001003,,,,,,,,,,,1.0,,,,,,,16,17
Staten Island,50198001003.0,360850198001003,-1.0,-1.0,,,,,,,-1.0,,,,,,,,,0,-2
Staten Island,50201001003.0,360850201001003,,,,,,,,,,,,,,1.0,,,,33,33
Staten Island,50208041003.0,360850208041003,,,,,,,,,,,,,,,,,,48,48
Staten Island,50213001003.0,360850213001003,,,,,,,,,,,,,,,,,,29,29
Staten Island,50244011003.0,360850244011003,,,,,,,,,,,,,,,,,,0,0
Staten Island,50251001003.0,360850251001003,,,,,,,,,,,,,,,,,,14,14
Staten Island,50273021003.0,360850273021003,,,,,,,,,,,,,,,,,,19,19
Staten Island,50277021003.0,360850277021003,,,,,,,,,,,,,,,,,,8,8
Staten Island,50277051003.0,360850277051003,,,,,,,,,,,,,,,,,,100,100
Staten Island,50319011003.0,360850319011003,,,,,,,,,,,,,,,,,,8,8
Staten Island,50319021003.0,360850319021003,,,6.0,,,0.0,,,,,,,,,,,,146,152
Staten Island,50006001004.0,360850006001004,,,,,,0.0,,,,,,,,,,0.0,,2,2
Staten Island,50008001004.0,360850008001004,,,,,,,,,,,,,,,,,,42,42
Staten Island,50009001004.0,360850009001004,,,,,,,,,,,,,,,,,,26,26
Staten Island,50021001004.0,360850021001004,,,,,,,,,,,,,,,,,,50,50
Staten Island,50027001004.0,360850027001004,-3.0,-3.0,,,,,,,,,,,,,,,2.0,84,81
Staten Island,50033001004.0,360850033001004,,,,,,,,,,,,,,,,,,41,41
Staten Island,50036001004.0,360850036001004,,,,,,,,,-1.0,,,,,,2.0,,,34,33
Staten Island,50040001004.0,360850040001004,,,,,,,,,,,,,,,,,,26,26
Staten Island,50059001004.0,360850059001004,,,,,,,1.0,,,,,,,,,,,11,12
Staten Island,50064001004.0,360850064001004,,,,,,,,,,,,,,,,,0.0,16,16
Staten Island,50067001004.0,360850067001004,,,,,,,,,,,,,,,,,,72,72
Staten Island,50074001004.0,360850074001004,,,,,,,,,2.0,-1.0,6.0,,,,,,,52,59
Staten Island,50075001004.0,360850075001004,,,0.0,,,,1.0,,,,,,,2.0,,,,104,105
Staten Island,50081001004.0,360850081001004,,,,,,,,,-1.0,,,,,,,,,44,43
Staten Island,50096021004.0,360850096021004,,,,,0.0,,0.0,,-1.0,6.0,,,0.0,,,,,18,23
Staten Island,50112011004.0,360850112011004,,,2.0,,,,,,-1.0,,2.0,,,,,,,62,65
Staten Island,50112021004.0,360850112021004,,,,,,,,,,,,,,,,,,10,10
Staten Island,50114011004.0,360850114011004,,,,1.0,,,,,,0.0,,,,1.0,1.0,,1.0,29,30
Staten Island,50114021004.0,360850114021004,,,,,,,,,,0.0,,,,,,,,12,12
Staten Island,50121001004.0,360850121001004,,,,0.0,,0.0,,,,,,-1.0,,,0.0,,,25,24
Staten Island,50122001004.0,360850122001004,,,0.0,,,,,,,,,,,,,,,24,24
Staten Island,50125001004.0,360850125001004,,,1.0,,,,,0.0,,,-1.0,,0.0,2.0,2.0,,,85,85
Staten Island,50128061004.0,360850128061004,,,,,,,,,,,,,,,,0.0,,17,17
Staten Island,50132011004.0,360850132011004,,,,,,,,,,,,,,,,,,32,32
Staten Island,50132031004.0,360850132031004,,,,,1.0,,,,,,,,,,,,,39,40
Staten Island,50132041004.0,360850132041004,,,,,1.0,,1.0,,,,,,,,,,,24,26
Staten Island,50134001004.0,360850134001004,,,,,,,,,,,,,,,,,,12,12
Staten Island,50138001004.0,360850138001004,,,,,,,,,,,,,,,,,,15,15
Staten Island,50146041004.0,360850146041004,,,,,,,,,-1.0,2.0,,,,,,,,38,39
Staten Island,50146051004.0,360850146051004,,,,,,,,,,,,,,,,,,0,0
Staten Island,50146081004.0,360850146081004,,,,,,,,,,,,,,,,,,37,37
Staten Island,50147001004.0,360850147001004,,,,,0.0,,,,,,,,,,,,0.0,29,29
Staten Island,50156011004.0,360850156011004,,,2.0,0.0,,0.0,,,1.0,,,,,,,,0.0,26,29
Staten Island,50156021004.0,360850156021004,,,0.0,0.0,,,,,,,,0.0,,,,,,30,30
Staten Island,50156031004.0,360850156031004,,,,,,,,,,,,,,,,,,20,20
Staten Island,50170051004.0,360850170051004,0.0,0.0,0.0,2.0,2.0,,,-1.0,,6.0,,,,,,,0.0,33,42
Staten Island,50170071004.0,360850170071004,,,,,,,,,,,,,,,,,0.0,21,21
Staten Island,50170091004.0,360850170091004,,,,,,,,-1.0,2.0,2.0,0.0,,,,,,,31,34
Staten Island,50170111004.0,360850170111004,,,,,,,,,,,,,,,,,,37,37
Staten Island,50173001004.0,360850173001004,,,,3.0,,,,,,,,,,,,,,33,36
Staten Island,50187011004.0,360850187011004,,,,,,,-1.0,1.0,1.0,-1.0,4.0,,,,,,,30,34
Staten Island,50187021004.0,360850187021004,,,,,,,,,,,,,,,,,,62,62
Staten Island,50189011004.0,360850189011004,,,,,,,,,,,,,,,,,,41,41
Staten Island,50197001004.0,360850197001004,,,,,,,,,,,,,,,,,,15,15
Staten Island,50198001004.0,360850198001004,,,,,,,,,,,,,,,,,,0,0
Staten Island,50201001004.0,360850201001004,,,,,,,,,,,,,,,,,,35,35
Staten Island,50208011004.0,360850208011004,,,,,,,,,,,,,,,,,1.0,40,40
Staten Island,50208041004.0,360850208041004,,,,,,,,,,,,-1.0,,,,,,39,38
Staten Island,50213001004.0,360850213001004,,,,,,,,,,,,,,,,,0.0,44,44
Staten Island,50251001004.0,360850251001004,,,,,,,,,,,,,,,,,,28,28
Staten Island,50273011004.0,360850273011004,,,,,,,,,,,,,,,-1.0,,,57,57
Staten Island,50273021004.0,360850273021004,0.0,0.0,,,,,,,1.0,,,,,,,,0.0,27,28
Staten Island,50277041004.0,360850277041004,1.0,1.0,,,,,,2.0,1.0,,,8.0,0.0,,0.0,,,148,160
Staten Island,50277051004.0,360850277051004,,,,,,,,,,,,,,,,,1.0,101,101
Staten Island,50291041004.0,360850291041004,,,,,,,0.0,,,,,,,,,,,52,52
Staten Island,50008001005.0,360850008001005,,,,,,,,,,,,0.0,,,,,,22,22
Staten Island,50009001005.0,360850009001005,,,,,,,,,,,,,,,,,,0,0
Staten Island,50027001005.0,360850027001005,,,,,,,,,,,,,,0.0,0.0,0.0,,17,17
Staten Island,50036001005.0,360850036001005,,1.0,,,,,,,,,,,,,,,,35,35
Staten Island,50040001005.0,360850040001005,,,,,,,,1.0,,,,,,,,,1.0,23,24
Staten Island,50064001005.0,360850064001005,,,,,,,-1.0,,,1.0,,,,,0.0,,,24,24
