boro,commntydst,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,total
Queens,407,407.0,473.0,416.0,322.0,394.0,443.0,151.0,380.0,218.0,295.0,1222.0,322.0,1059.0,365.0,2797.0,875.0,1321.0,95475,100045
Queens,408,148.0,181.0,322.0,85.0,97.0,22.0,63.0,84.0,89.0,159.0,178.0,120.0,966.0,51.0,716.0,120.0,163.0,56863,58230
Queens,409,36.0,53.0,155.0,113.0,229.0,30.0,20.0,196.0,18.0,30.0,43.0,62.0,370.0,147.0,304.0,99.0,312.0,47999,48931
Queens,410,42.0,60.0,75.0,21.0,132.0,47.0,55.0,36.0,12.0,30.0,47.0,31.0,108.0,29.0,207.0,152.0,179.0,41391,41919
Queens,411,76.0,124.0,135.0,50.0,79.0,80.0,36.0,18.0,51.0,42.0,70.0,73.0,163.0,49.0,194.0,106.0,131.0,45688,46398
Queens,412,304.0,722.0,183.0,165.0,111.0,330.0,157.0,153.0,113.0,866.0,856.0,947.0,1966.0,841.0,2580.0,544.0,648.0,76426,80611
Queens,413,89.0,108.0,69.0,72.0,66.0,68.0,52.0,37.0,48.0,53.0,61.0,66.0,179.0,27.0,142.0,25.0,379.0,63216,63897
Queens,414,143.0,197.0,158.0,138.0,75.0,102.0,185.0,98.0,244.0,460.0,285.0,148.0,1570.0,483.0,1883.0,156.0,200.0,45250,47286
Queens,480,,,,,,,,,,,,,,,,,,0,0
Queens,481,,,,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,1,1
Queens,482,,,,,,,,,,,,,,,,,,392,392
Queens,483,,,,,,,,,,,,,,,0.0,,0.0,0,0
Queens,484,,,,,,0.0,,,-1.0,,0.0,,,,,-1.0,1.0,20,19
Staten Island,501,203.0,347.0,223.0,174.0,186.0,94.0,-168.0,775.0,194.0,100.0,180.0,90.0,702.0,49.0,591.0,331.0,967.0,65422,67473
Staten Island,502,83.0,117.0,101.0,127.0,19.0,114.0,144.0,114.0,78.0,366.0,147.0,108.0,555.0,19.0,234.0,45.0,135.0,50319,51720
Staten Island,503,198.0,272.0,240.0,182.0,271.0,158.0,140.0,193.0,210.0,255.0,216.0,224.0,315.0,34.0,531.0,-14.0,442.0,60584,62871
Staten Island,595,,,,,,,,,,,,,,,,,,331,331
Bronx,203,1282.0,1294.0,718.0,205.0,599.0,276.0,418.0,658.0,615.0,460.0,861.0,748.0,469.0,142.0,1340.0,422.0,175.0,28182,35022
Bronx,209,190.0,199.0,133.0,48.0,78.0,29.0,319.0,251.0,138.0,47.0,551.0,394.0,1638.0,50.0,1093.0,267.0,168.0,64604,66782
