boro,bct2010,centract10,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Manhattan,1002100,36061002100.0,1.0,-10.0,85.0,-2.0,19.0,0.0,7.0,507.0,26.0,197.0,6.0,45.0,13.0,1.0,99.0,42.0,87.0,3020,3020,3911,3911
Manhattan,1031703,36061031703.0,190.0,190.0,280.0,,0.0,,,,,,,,0.0,,-2.0,,0.0,4147,4147,4617,4617
Manhattan,1016300,36061016300.0,24.0,24.0,69.0,-4.0,181.0,0.0,-124.0,26.0,25.0,74.0,0.0,0.0,0.0,0.0,1.0,3.0,-28.0,4300,4300,4571,4571
Manhattan,1013300,36061013300.0,186.0,188.0,0.0,3.0,122.0,55.0,156.0,-2.0,30.0,,8.0,60.0,7.0,,22.0,1.0,5.0,3950,3950,4568,4568
Manhattan,1020500,36061020500.0,,,,,,,,0.0,,,,,,,190.0,0.0,1.0,1303,1303,1303,1303
Manhattan,1012700,36061012700.0,12.0,12.0,1.0,-5.0,-21.0,-7.0,,20.0,5.0,0.0,0.0,2.0,9.0,9.0,25.0,11.0,10.0,4479,4479,4486,4486
Manhattan,1012900,36061012900.0,3.0,3.0,-20.0,1.0,1304.0,0.0,1285.0,280.0,18.0,168.0,228.0,,-1.0,,226.0,0.0,894.0,3762,3762,7029,7029
Manhattan,1007600,36061007600.0,,0.0,0.0,1.0,0.0,7.0,0.0,-4.0,-13.0,368.0,,0.0,27.0,,28.0,3.0,25.0,1617,1617,1976,1976
Manhattan,1009500,36061009500.0,302.0,302.0,-8.0,4.0,-3.0,-13.0,-3.0,1.0,69.0,8.0,49.0,37.0,16.0,3.0,710.0,357.0,190.0,1249,1249,1692,1692
Manhattan,1010100,36061010100.0,,,362.0,-9.0,0.0,0.0,,375.0,-4.0,2.0,,,,2.0,2.0,0.0,2.0,680,680,1406,1406
Staten Island,5018701,36085018701.0,,,-1.0,0.0,0.0,2.0,0.0,-1.0,1.0,2.0,1.0,8.0,3.0,-2.0,3.0,-1.0,8.0,662,662,674,674
Staten Island,5029104,36085029104.0,1.0,1.0,,0.0,1.0,11.0,45.0,51.0,22.0,1.0,4.0,-1.0,199.0,1.0,1.0,0.0,1.0,2411,2411,2546,2546
Queens,4093401,36081093401.0,0.0,0.0,-1.0,-3.0,-2.0,-4.0,18.0,0.0,6.0,6.0,1.0,0.0,,1.0,-5.0,-9.0,2.0,1574,1574,1595,1595
Manhattan,1022800,36061022800.0,32.0,33.0,,42.0,2.0,6.0,21.0,3.0,1.0,9.0,151.0,-5.0,38.0,54.0,29.0,-4.0,10.0,2748,2748,3010,3010
Manhattan,1003601,36061003601.0,1.0,1.0,4.0,0.0,0.0,0.0,,4.0,22.0,,1.0,,,,28.0,-6.0,1.0,1566,1566,1598,1598
Manhattan,1004300,36061004300.0,10.0,10.0,-2.0,1.0,34.0,6.0,4.0,-6.0,15.0,1.0,4.0,-1.0,3.0,0.0,6.0,3.0,13.0,2589,2589,2655,2655
Manhattan,1005900,36061005900.0,0.0,0.0,-14.0,-12.0,0.0,0.0,0.0,,1.0,-5.0,-2.0,,-2.0,-4.0,-1.0,,-2.0,3333,3333,3301,3301
Manhattan,1016100,36061016100.0,-17.0,-21.0,-14.0,-13.0,-11.0,,-5.0,-6.0,-31.0,-5.0,-8.0,,-1.0,,-4.0,-23.0,-34.0,4226,4226,4116,4116
Staten Island,5017010,36085017010.0,2.0,6.0,1.0,0.0,0.0,0.0,4.0,3.0,6.0,6.0,5.0,5.0,4.0,-2.0,10.0,,6.0,3097,3097,3129,3129
Staten Island,5020801,36085020801.0,14.0,16.0,4.0,22.0,12.0,-1.0,-2.0,12.0,26.0,19.0,-2.0,0.0,4.0,-2.0,15.0,5.0,2.0,3321,3321,3425,3425
Staten Island,5003900,36085003900.0,,1.0,0.0,0.0,-1.0,,0.0,0.0,1.0,2.0,18.0,,,,4.0,,0.0,995,995,1015,1015
Staten Island,5004700,36085004700.0,3.0,113.0,3.0,0.0,0.0,1.0,,0.0,-1.0,0.0,2.0,1.0,14.0,0.0,4.0,8.0,10.0,1212,1212,1221,1221
Manhattan,1023502,36061023502.0,,,-1.0,,,-67.0,,,-5.0,,,,,,14.0,0.0,0.0,848,848,775,775
Staten Island,5017005,36085017005.0,0.0,0.0,5.0,9.0,18.0,36.0,30.0,14.0,3.0,16.0,26.0,18.0,0.0,3.0,11.0,0.0,28.0,1745,1745,1920,1920
Staten Island,5017600,36085017600.0,5.0,5.0,3.0,15.0,4.0,-3.0,-5.0,26.0,17.0,26.0,27.0,8.0,49.0,2.0,16.0,2.0,28.0,1760,1760,1883,1883
Queens,4097202,36081097202.0,,,,,,,,,0.0,,,,,,,,,1139,1139,1139,1139
Queens,4097204,36081097204.0,,,,,,,,0.0,100.0,0.0,129.0,,451.0,,-1.0,6.0,0.0,1151,1151,1380,1380
Manhattan,1021000,36061021000.0,,,,,,,,,,0.0,,,,,,,,3134,3134,3134,3134
Manhattan,1021200,36061021200.0,0.0,0.0,,,,,-7.0,,,64.0,,,,,,,1.0,2687,2687,2744,2744
Manhattan,1002500,36061002500.0,,,,,,,,,,,,,,,,,,1889,1889,1889,1889
Bronx,2030900,36005030900.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,1.0,0.0,,1.0,1.0,,72.0,0.0,1.0,1461,1461,1466,1466
Bronx,2032300,36005032300.0,,,1.0,0.0,,1.0,1.0,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2866,2866,2870,2870
Manhattan,1030300,36061030300.0,,,,,,,0.0,,,,,,,,1.0,,14.0,1808,1808,1808,1808
