boro,bct2010,centract10,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Staten Island,5000900,36085000900.0,,,2.0,1.0,,1.0,0.0,0.0,7.0,2.0,,,12.0,,10.0,9.0,,907,907,920,920
Manhattan,1009800,36061009800.0,22.0,20.0,-21.0,0.0,0.0,0.0,116.0,131.0,-7.0,2.0,3.0,3.0,29.0,-5.0,165.0,212.0,31.0,5411,5411,5660,5660
Manhattan,1010200,36061010200.0,0.0,0.0,,,0.0,-14.0,0.0,0.0,-4.0,-2.0,,0.0,-2.0,,69.0,0.0,113.0,307,307,287,287
Manhattan,1010400,36061010400.0,0.0,0.0,-1.0,0.0,,173.0,0.0,-26.0,0.0,,180.0,,96.0,26.0,-4.0,4.0,70.0,1040,1040,1366,1366
Manhattan,1011300,36061011300.0,-1.0,-11.0,0.0,,-2.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,2.0,3.0,111,111,108,108
Manhattan,1011402,36061011402.0,0.0,0.0,,-4.0,0.0,,,-1.0,,-1.0,,1.0,0.0,0.0,-1.0,5.0,2.0,1869,1869,1864,1864
Manhattan,1013000,36061013000.0,1.0,1.0,-7.0,-2.0,-17.0,-6.0,0.0,8.0,-46.0,4.0,-2.0,-8.0,-1.0,-2.0,-27.0,-8.0,-21.0,2706,2706,2631,2631
Manhattan,1014000,36061014000.0,-3.0,-3.0,-2.0,-2.0,19.0,0.0,-10.0,14.0,1.0,-16.0,-19.0,6.0,5.0,-10.0,43.0,-1.0,-20.0,4399,4399,4387,4387
Manhattan,1014801,36061014801.0,,,,,,0.0,,,,0.0,1.0,,39.0,-5.0,0.0,,0.0,1699,1699,1700,1700
Manhattan,1018400,36061018400.0,55.0,109.0,27.0,-6.0,,0.0,-17.0,32.0,0.0,0.0,,,202.0,,2.0,13.0,92.0,3219,3219,3310,3310
Manhattan,1019000,36061019000.0,1.0,1.0,,0.0,0.0,190.0,-1.0,,1.0,-5.0,,-2.0,3.0,58.0,168.0,-2.0,26.0,1604,1604,1788,1788
Manhattan,1020600,36061020600.0,60.0,60.0,-11.0,113.0,-2.0,9.0,1.0,1.0,39.0,5.0,24.0,-3.0,253.0,0.0,43.0,10.0,20.0,1498,1498,1734,1734
Manhattan,1024900,36061024900.0,,,,,,49.0,,-2.0,,37.0,,,,,0.0,,1.0,400,400,484,484
Manhattan,1026100,36061026100.0,-1.0,-1.0,,-2.0,,,,,,8.0,0.0,,,,1.0,,,3784,3784,3789,3789
Manhattan,1026300,36061026300.0,0.0,0.0,0.0,,,0.0,3.0,-1.0,,,,,1.0,,-2.0,1.0,-20.0,2924,2924,2926,2926
Manhattan,1026900,36061026900.0,5.0,5.0,0.0,4.0,0.0,,17.0,0.0,23.0,,,,-3.0,,6.0,,2.0,2751,2751,2800,2800
Manhattan,1027700,36061027700.0,,,,,,,,,,,,,0.0,,,,1.0,2181,2181,2181,2181
Brooklyn,3000501,36047000501.0,,,39.0,2.0,5.0,-6.0,,-1.0,,-101.0,0.0,-9.0,-1.0,1.0,-7.0,194.0,-5.0,2004,2004,1933,1933
Brooklyn,3004100,36047004100.0,0.0,0.0,9.0,-2.0,2.0,-1.0,14.0,-1.0,0.0,1.0,-1.0,9.0,0.0,-1.0,38.0,8.0,10.0,1631,1631,1661,1661
Brooklyn,3005800,36047005800.0,4.0,4.0,1.0,4.0,,,,1.0,,,,,4.0,-2.0,-2.0,0.0,0.0,1747,1747,1757,1757
Brooklyn,3006000,36047006000.0,1.0,1.0,,0.0,-3.0,,-1.0,,,4.0,,,2.0,1.0,1.0,0.0,1.0,1265,1265,1266,1266
Brooklyn,3006700,36047006700.0,-4.0,-6.0,-3.0,-7.0,24.0,15.0,-1.0,2.0,-5.0,-2.0,-8.0,-7.0,-2.0,-3.0,-18.0,-5.0,-4.0,1590,1590,1594,1594
Brooklyn,3006900,36047006900.0,7.0,8.0,1.0,-1.0,7.0,-6.0,-6.0,-1.0,0.0,11.0,2.0,4.0,1.0,0.0,12.0,19.0,3.0,1720,1720,1738,1738
Brooklyn,3007400,36047007400.0,7.0,7.0,2.0,4.0,3.0,3.0,3.0,4.0,1.0,2.0,,8.0,,,1.0,,,1541,1541,1578,1578
Brooklyn,3007800,36047007800.0,,,7.0,1.0,-2.0,,2.0,0.0,14.0,25.0,-8.0,5.0,-1.0,85.0,65.0,0.0,6.0,1552,1552,1596,1596
Brooklyn,3008000,36047008000.0,,1.0,-2.0,0.0,0.0,,,,,1.0,5.0,,,0.0,7.0,0.0,15.0,1299,1299,1303,1303
Brooklyn,3009800,36047009800.0,10.0,27.0,19.0,4.0,1.0,0.0,3.0,6.0,3.0,3.0,4.0,3.0,-2.0,1.0,14.0,-3.0,0.0,1839,1839,1895,1895
Brooklyn,3010100,36047010100.0,1.0,1.0,12.0,-1.0,0.0,20.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,9.0,150.0,6.0,0.0,1497,1497,1527,1527
Brooklyn,3010200,36047010200.0,0.0,6.0,9.0,3.0,0.0,-1.0,2.0,9.0,9.0,7.0,21.0,14.0,5.0,0.0,16.0,5.0,2.0,1509,1509,1582,1582
Brooklyn,3010400,36047010400.0,12.0,40.0,29.0,4.0,8.0,5.0,6.0,-6.0,2.0,16.0,-3.0,10.0,5.0,4.0,5.0,42.0,29.0,1744,1744,1827,1827
Brooklyn,3010800,36047010800.0,6.0,6.0,16.0,9.0,5.0,8.0,-6.0,-2.0,4.0,-4.0,20.0,10.0,10.0,8.0,41.0,1.0,21.0,1551,1551,1617,1617
Brooklyn,3011000,36047011000.0,,,0.0,0.0,19.0,-2.0,-2.0,-3.0,7.0,-2.0,5.0,72.0,0.0,15.0,16.0,-4.0,0.0,710,710,804,804
Brooklyn,3011400,36047011400.0,0.0,0.0,12.0,2.0,0.0,-2.0,0.0,2.0,2.0,2.0,2.0,5.0,22.0,6.0,13.0,2.0,6.0,1249,1249,1274,1274
Brooklyn,3012801,36047012801.0,1.0,1.0,0.0,,1.0,,,0.0,,,0.0,0.0,,5.0,-2.0,3.0,,832,832,834,834
Brooklyn,3013000,36047013000.0,,,0.0,4.0,,,,-1.0,0.0,,,0.0,0.0,,0.0,1.0,-2.0,2100,2100,2103,2103
Brooklyn,3013300,36047013300.0,65.0,73.0,16.0,,0.0,0.0,-13.0,9.0,52.0,69.0,8.0,10.0,7.0,1.0,41.0,-4.0,-5.0,1849,1849,2065,2065
Brooklyn,3013700,36047013700.0,-3.0,-3.0,9.0,2.0,101.0,63.0,0.0,0.0,0.0,7.0,-2.0,-1.0,2.0,0.0,4.0,2.0,2.0,1486,1486,1662,1662
Brooklyn,3013900,36047013900.0,-1.0,-1.0,4.0,0.0,6.0,-3.0,12.0,1.0,-1.0,8.0,1.0,-3.0,1.0,,76.0,-4.0,4.0,1612,1612,1636,1636
Brooklyn,3015100,36047015100.0,16.0,15.0,1.0,0.0,-5.0,0.0,-8.0,-5.0,0.0,2.0,-1.0,-4.0,2.0,0.0,9.0,2.0,-1.0,1666,1666,1662,1662
Brooklyn,3015300,36047015300.0,,0.0,-1.0,-1.0,-2.0,-1.0,-1.0,-17.0,-5.0,-2.0,-2.0,2.0,-79.0,0.0,-5.0,0.0,0.0,1298,1298,1268,1268
Brooklyn,3015500,36047015500.0,,-2.0,0.0,-3.0,-3.0,-5.0,,-1.0,-7.0,-2.0,,-3.0,,,-2.0,-2.0,-1.0,1572,1572,1548,1548
Brooklyn,3015700,36047015700.0,0.0,0.0,1.0,0.0,-1.0,-2.0,-1.0,0.0,,28.0,0.0,-4.0,0.0,0.0,2.0,-3.0,-7.0,2128,2128,2149,2149
Brooklyn,3017000,36047017000.0,,,1.0,6.0,,,,0.0,1.0,,0.0,0.0,19.0,-1.0,-1.0,1.0,1.0,1405,1405,1413,1413
Brooklyn,3017800,36047017800.0,-1.0,-1.0,-1.0,-1.0,5.0,6.0,0.0,,-2.0,5.0,-2.0,,1.0,1.0,25.0,9.0,4.0,1013,1013,1022,1022
Brooklyn,3018600,36047018600.0,,,,1.0,,,1.0,1.0,1.0,0.0,,,,,1.0,2.0,,816,816,820,820
Brooklyn,3018800,36047018800.0,5.0,5.0,,0.0,,,-5.0,6.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1137,1137,1145,1145
Brooklyn,3019000,36047019000.0,,3.0,2.0,1.0,17.0,3.0,-2.0,0.0,1.0,,,,14.0,0.0,40.0,15.0,5.0,1793,1793,1815,1815
Brooklyn,3019200,36047019200.0,,-2.0,12.0,3.0,-2.0,0.0,3.0,0.0,-2.0,1.0,1.0,6.0,2.0,3.0,-2.0,,-7.0,990,990,1012,1012
Brooklyn,3019400,36047019400.0,0.0,0.0,13.0,3.0,,-1.0,0.0,-2.0,-2.0,-2.0,-1.0,-1.0,2.0,2.0,160.0,-2.0,0.0,1272,1272,1279,1279
Brooklyn,3019500,36047019500.0,2.0,2.0,0.0,9.0,,,,,21.0,-2.0,7.0,0.0,37.0,,9.0,20.0,-1.0,1838,1838,1875,1875
Brooklyn,3019600,36047019600.0,2.0,2.0,,,0.0,0.0,,4.0,7.0,9.0,1.0,,4.0,-5.0,2.0,1.0,0.0,1694,1694,1717,1717
Brooklyn,3019700,36047019700.0,1.0,1.0,-1.0,,1.0,-1.0,0.0,-15.0,-1.0,1.0,-3.0,,0.0,-1.0,-5.0,0.0,0.0,1824,1824,1806,1806
Brooklyn,3019800,36047019800.0,,,-1.0,,,2.0,,-2.0,,2.0,2.0,-1.0,,-1.0,1.0,0.0,2.0,782,782,784,784
Brooklyn,3020400,36047020400.0,1.0,1.0,1.0,,,0.0,,,,3.0,1.0,,,,2.0,,0.0,745,745,751,751
Brooklyn,3020800,36047020800.0,1.0,1.0,-1.0,,-3.0,,6.0,1.0,1.0,1.0,,2.0,2.0,,1.0,2.0,1.0,1283,1283,1291,1291
Brooklyn,3021000,36047021000.0,5.0,5.0,,-3.0,-1.0,11.0,4.0,2.0,1.0,,0.0,0.0,6.0,-2.0,-1.0,1.0,1.0,1561,1561,1580,1580
Brooklyn,3021200,36047021200.0,,,2.0,,,-1.0,1.0,16.0,1.0,-3.0,0.0,7.0,1.0,,34.0,6.0,-2.0,1657,1657,1680,1680
Brooklyn,3021400,36047021400.0,,,-2.0,1.0,,12.0,-2.0,6.0,-5.0,,9.0,,0.0,,0.0,-1.0,1.0,619,619,638,638
Brooklyn,3021900,36047021900.0,5.0,5.0,0.0,0.0,5.0,64.0,1.0,-1.0,0.0,186.0,147.0,4.0,99.0,9.0,6.0,5.0,3.0,1615,1615,2026,2026
Brooklyn,3022000,36047022000.0,0.0,8.0,7.0,-2.0,3.0,6.0,6.0,0.0,8.0,9.0,0.0,6.0,3.0,0.0,13.0,5.0,0.0,1419,1419,1462,1462
Brooklyn,3022100,36047022100.0,10.0,10.0,29.0,,3.0,12.0,44.0,12.0,2.0,2.0,17.0,97.0,17.0,18.0,20.0,-12.0,4.0,1640,1640,1868,1868
Brooklyn,3022200,36047022200.0,8.0,20.0,10.0,0.0,-7.0,17.0,15.0,10.0,,6.0,81.0,7.0,12.0,3.0,27.0,4.0,6.0,1308,1308,1455,1455
Brooklyn,3022700,36047022700.0,5.0,4.0,49.0,6.0,93.0,-2.0,187.0,83.0,72.0,30.0,56.0,227.0,186.0,74.0,257.0,76.0,101.0,1731,1731,2537,2537
Brooklyn,3023500,36047023500.0,30.0,31.0,38.0,30.0,13.0,56.0,19.0,165.0,0.0,20.0,6.0,21.0,41.0,0.0,75.0,44.0,31.0,1380,1380,1778,1778
Brooklyn,3023600,36047023600.0,-3.0,7.0,10.0,-3.0,-1.0,5.0,-2.0,-6.0,-9.0,16.0,18.0,2.0,8.0,,20.0,-3.0,26.0,1775,1775,1802,1802
Brooklyn,3023800,36047023800.0,15.0,12.0,15.0,-1.0,0.0,6.0,14.0,-8.0,9.0,12.0,2.0,-2.0,-1.0,-3.0,10.0,,6.0,1452,1452,1514,1514
Brooklyn,3024000,36047024000.0,-2.0,1.0,1.0,1.0,-1.0,4.0,-6.0,6.0,0.0,0.0,6.0,1.0,,2.0,1.0,-5.0,4.0,1470,1470,1480,1480
Brooklyn,3024200,36047024200.0,2.0,0.0,-2.0,,,3.0,0.0,-8.0,-1.0,9.0,-3.0,62.0,0.0,,106.0,1.0,-3.0,1120,1120,1182,1182
Brooklyn,3024500,36047024500.0,,0.0,2.0,13.0,7.0,-1.0,-1.0,18.0,4.0,8.0,9.0,-9.0,110.0,2.0,15.0,20.0,41.0,1937,1937,1987,1987
Brooklyn,3024600,36047024600.0,-1.0,-2.0,0.0,-3.0,0.0,0.0,3.0,0.0,-8.0,-2.0,-2.0,0.0,0.0,0.0,1.0,3.0,1.0,1151,1151,1138,1138
Brooklyn,3024800,36047024800.0,-1.0,-1.0,2.0,1.0,,,1.0,-1.0,0.0,,0.0,,0.0,,2.0,2.0,-1.0,973,973,975,975
Brooklyn,3024900,36047024900.0,4.0,4.0,3.0,5.0,1.0,3.0,8.0,-3.0,4.0,2.0,6.0,2.0,4.0,8.0,10.0,6.0,21.0,1948,1948,1983,1983
Brooklyn,3025000,36047025000.0,-1.0,-1.0,,,0.0,,,,,-2.0,,,,,1.0,0.0,,634,634,631,631
Brooklyn,3025200,36047025200.0,10.0,10.0,,1.0,1.0,,,6.0,0.0,,0.0,,17.0,,4.0,0.0,0.0,1989,1989,2007,2007
Brooklyn,3025400,36047025400.0,0.0,0.0,2.0,,19.0,2.0,0.0,,1.0,0.0,-1.0,2.0,2.0,0.0,5.0,,4.0,1284,1284,1309,1309
Brooklyn,3025600,36047025600.0,,2.0,3.0,1.0,,,2.0,6.0,0.0,1.0,,0.0,1.0,,8.0,2.0,2.0,1126,1126,1139,1139
Brooklyn,3025800,36047025800.0,0.0,0.0,,0.0,1.0,2.0,0.0,,-1.0,10.0,,,,1.0,7.0,1.0,0.0,1713,1713,1725,1725
Brooklyn,3026000,36047026000.0,,,7.0,0.0,,,0.0,,2.0,1.0,-2.0,,1.0,,10.0,4.0,,1347,1347,1355,1355
Brooklyn,3026200,36047026200.0,1.0,1.0,,3.0,2.0,0.0,,8.0,1.0,1.0,3.0,1.0,1.0,,3.0,6.0,1.0,926,926,946,946
Brooklyn,3026300,36047026300.0,,,2.0,2.0,1.0,6.0,-4.0,15.0,,9.0,13.0,22.0,10.0,0.0,8.0,26.0,7.0,892,892,958,958
Brooklyn,3026400,36047026400.0,,,1.0,2.0,-1.0,1.0,,-2.0,-3.0,5.0,,,0.0,0.0,22.0,3.0,1.0,1764,1764,1767,1767
Brooklyn,3026600,36047026600.0,7.0,7.0,1.0,,,,,-1.0,-8.0,,,,,-3.0,2.0,3.0,-1.0,1371,1371,1370,1370
Brooklyn,3026700,36047026700.0,1.0,1.0,7.0,2.0,,4.0,7.0,4.0,3.0,0.0,75.0,1.0,1.0,15.0,44.0,9.0,3.0,2038,2038,2142,2142
Brooklyn,3026800,36047026800.0,,,,,,,,,,-2.0,44.0,,10.0,0.0,10.0,43.0,1.0,1582,1582,1624,1624
Brooklyn,3026900,36047026900.0,,,0.0,1.0,24.0,,28.0,-1.0,12.0,1.0,8.0,0.0,8.0,11.0,44.0,17.0,8.0,1344,1344,1417,1417
Brooklyn,3027000,36047027000.0,-4.0,-4.0,1.0,13.0,-3.0,,0.0,0.0,,0.0,17.0,1.0,,,1.0,0.0,1.0,996,996,1021,1021
Brooklyn,3027200,36047027200.0,,,0.0,1.0,,,,-2.0,36.0,3.0,3.0,-1.0,,,,,,1260,1260,1300,1300
Brooklyn,3027300,36047027300.0,-1.0,-1.0,4.0,-1.0,,,0.0,8.0,43.0,0.0,2.0,22.0,39.0,18.0,4.0,4.0,5.0,1368,1368,1445,1445
Brooklyn,3027400,36047027400.0,,,,,,1.0,,1.0,1.0,,1.0,,,-1.0,2.0,,0.0,1137,1137,1141,1141
Brooklyn,3027600,36047027600.0,9.0,9.0,0.0,,1.0,,-2.0,-2.0,6.0,6.0,,,,,0.0,0.0,0.0,1313,1313,1331,1331
Brooklyn,3027800,36047027800.0,6.0,6.0,-2.0,14.0,9.0,-3.0,7.0,-4.0,-3.0,0.0,1.0,1.0,,,22.0,1.0,,1283,1283,1309,1309
Brooklyn,3027900,36047027900.0,4.0,4.0,2.0,23.0,2.0,1.0,3.0,14.0,12.0,9.0,2.0,11.0,6.0,5.0,27.0,12.0,11.0,1700,1700,1783,1783
Brooklyn,3028400,36047028400.0,9.0,9.0,1.0,,,2.0,,0.0,7.0,-1.0,6.0,6.0,1.0,,1.0,,0.0,1483,1483,1513,1513
Brooklyn,3028501,36047028501.0,,,,,6.0,,44.0,,,91.0,13.0,0.0,93.0,,,72.0,10.0,138,138,292,292
Brooklyn,3028800,36047028800.0,,,,,0.0,-2.0,2.0,-2.0,6.0,43.0,,1.0,0.0,2.0,18.0,1.0,,1273,1273,1321,1321
Brooklyn,3029100,36047029100.0,0.0,0.0,,4.0,3.0,8.0,14.0,22.0,16.0,-3.0,17.0,7.0,-12.0,4.0,40.0,5.0,13.0,1389,1389,1477,1477
Brooklyn,3029300,36047029300.0,2.0,2.0,6.0,,,-3.0,16.0,22.0,,2.0,0.0,19.0,0.0,,66.0,53.0,3.0,1448,1448,1512,1512
Brooklyn,3029800,36047029800.0,0.0,0.0,2.0,,1.0,6.0,-1.0,-1.0,,,1.0,,,,1.0,-1.0,1.0,1477,1477,1485,1485
Brooklyn,3030000,36047030000.0,11.0,11.0,6.0,,,-1.0,,9.0,-2.0,6.0,,2.0,1.0,,2.0,3.0,1.0,1496,1496,1527,1527
Brooklyn,3030900,36047030900.0,48.0,48.0,0.0,8.0,-2.0,1.0,-2.0,66.0,37.0,14.0,8.0,7.0,8.0,41.0,38.0,20.0,15.0,677,677,862,862
Brooklyn,3031701,36047031701.0,,8.0,,13.0,1.0,1.0,0.0,3.0,1.0,52.0,12.0,10.0,9.0,14.0,21.0,39.0,7.0,1598,1598,1691,1691
Brooklyn,3032900,36047032900.0,,,,,,,50.0,,28.0,-2.0,0.0,-1.0,21.0,22.0,3.0,-2.0,0.0,2301,2301,2376,2376
Brooklyn,3033100,36047033100.0,,,0.0,13.0,,-1.0,0.0,-4.0,,-1.0,,8.0,9.0,0.0,43.0,26.0,-1.0,1546,1546,1561,1561
Brooklyn,3033700,36047033700.0,,,,-2.0,2.0,2.0,42.0,4.0,1.0,,,,0.0,-9.0,-12.0,26.0,-2.0,1536,1536,1585,1585
Brooklyn,3033900,36047033900.0,,1.0,0.0,,6.0,,12.0,,,7.0,0.0,10.0,41.0,0.0,79.0,127.0,125.0,1950,1950,1985,1985
Brooklyn,3034100,36047034100.0,,,1.0,,,6.0,5.0,6.0,-1.0,1.0,,22.0,201.0,,0.0,,5.0,1058,1058,1098,1098
Brooklyn,3034200,36047034200.0,77.0,77.0,,,195.0,,,,3.0,,,,,0.0,,,10.0,2892,2892,3167,3167
Brooklyn,3038800,36047038800.0,-1.0,-1.0,-3.0,-2.0,0.0,1.0,-1.0,,-3.0,,-2.0,-1.0,6.0,0.0,-3.0,2.0,-3.0,1638,1638,1626,1626
Brooklyn,3039600,36047039600.0,-3.0,-3.0,28.0,0.0,1.0,2.0,0.0,1.0,-4.0,0.0,-3.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,947,947,969,969
Brooklyn,3039700,36047039700.0,0.0,-1.0,,4.0,28.0,1.0,2.0,21.0,55.0,41.0,18.0,21.0,22.0,138.0,136.0,18.0,81.0,1401,1401,1592,1592
Brooklyn,3039900,36047039900.0,,,-34.0,,0.0,,3.0,-4.0,17.0,11.0,6.0,19.0,34.0,0.0,52.0,9.0,15.0,1449,1449,1467,1467
Brooklyn,3040100,36047040100.0,-2.0,1.0,4.0,2.0,,8.0,6.0,9.0,1.0,35.0,44.0,9.0,14.0,,55.0,22.0,45.0,1324,1324,1440,1440
Brooklyn,3040400,36047040400.0,,1.0,25.0,-2.0,,6.0,,,,,16.0,,18.0,0.0,0.0,1.0,3.0,1026,1026,1071,1071
Brooklyn,3040600,36047040600.0,,,,,0.0,,0.0,,,,,,0.0,,0.0,1.0,,1372,1372,1372,1372
Brooklyn,3040800,36047040800.0,,,,,,,,,0.0,1.0,0.0,,,,,0.0,0.0,1316,1316,1317,1317
Brooklyn,3041300,36047041300.0,,0.0,2.0,2.0,-2.0,,26.0,15.0,4.0,8.0,9.0,12.0,10.0,1.0,20.0,21.0,2.0,1383,1383,1459,1459
Brooklyn,3041401,36047041401.0,0.0,1.0,-1.0,0.0,-3.0,-1.0,-9.0,1.0,-1.0,-2.0,-2.0,,-1.0,1.0,16.0,1.0,-4.0,578,578,560,560
Brooklyn,3041500,36047041500.0,3.0,3.0,6.0,,1.0,-8.0,10.0,5.0,-2.0,1.0,33.0,13.0,12.0,17.0,135.0,22.0,7.0,1424,1424,1486,1486
Brooklyn,3041700,36047041700.0,0.0,-1.0,4.0,,,3.0,10.0,1.0,,5.0,15.0,76.0,8.0,11.0,18.0,3.0,0.0,1392,1392,1506,1506
Brooklyn,3041800,36047041800.0,-2.0,-2.0,1.0,0.0,,0.0,,-2.0,0.0,,0.0,,1.0,-24.0,-5.0,0.0,4.0,984,984,981,981
Brooklyn,3041900,36047041900.0,3.0,3.0,0.0,9.0,8.0,-3.0,11.0,9.0,12.0,13.0,25.0,35.0,29.0,23.0,16.0,0.0,28.0,1279,1279,1401,1401
Brooklyn,3042000,36047042000.0,-1.0,-1.0,-1.0,-2.0,1.0,1.0,2.0,,-1.0,-1.0,0.0,,,0.0,-4.0,-1.0,-2.0,626,626,624,624
Brooklyn,3042100,36047042100.0,6.0,6.0,16.0,17.0,0.0,4.0,9.0,33.0,60.0,63.0,27.0,16.0,8.0,34.0,37.0,14.0,16.0,1359,1359,1610,1610
Brooklyn,3042600,36047042600.0,,-3.0,,,1.0,,-3.0,,-1.0,,30.0,0.0,,,16.0,30.0,15.0,1615,1615,1642,1642
Brooklyn,3042800,36047042800.0,0.0,0.0,1.0,0.0,,-4.0,,,,19.0,0.0,,61.0,,2.0,12.0,0.0,1780,1780,1796,1796
Brooklyn,3042900,36047042900.0,0.0,0.0,50.0,-2.0,12.0,60.0,5.0,-7.0,3.0,-1.0,3.0,91.0,0.0,16.0,24.0,24.0,3.0,1829,1829,2043,2043
Brooklyn,3043000,36047043000.0,,10.0,,0.0,0.0,,,,,,,,,6.0,0.0,0.0,1.0,1434,1434,1434,1434
Brooklyn,3043100,36047043100.0,-1.0,-1.0,,-2.0,0.0,33.0,0.0,15.0,19.0,1.0,5.0,,15.0,20.0,53.0,7.0,15.0,1768,1768,1838,1838
Brooklyn,3043200,36047043200.0,34.0,34.0,3.0,-1.0,2.0,,0.0,2.0,,6.0,0.0,,,,1.0,,0.0,1656,1656,1702,1702
Brooklyn,3043300,36047043300.0,3.0,3.0,,21.0,4.0,,,10.0,3.0,13.0,8.0,23.0,,,49.0,-1.0,51.0,1347,1347,1432,1432
Brooklyn,3043400,36047043400.0,-1.0,16.0,,,6.0,1.0,,24.0,,75.0,,,10.0,4.0,,1.0,10.0,1392,1392,1497,1497
Brooklyn,3043500,36047043500.0,8.0,8.0,5.0,0.0,,,-2.0,,17.0,12.0,24.0,17.0,12.0,,24.0,14.0,-2.0,1481,1481,1562,1562
Brooklyn,3043600,36047043600.0,1.0,1.0,,,1.0,,,,,0.0,,,0.0,31.0,,,10.0,1726,1726,1728,1728
Brooklyn,3043900,36047043900.0,0.0,6.0,,,0.0,,3.0,16.0,24.0,35.0,8.0,14.0,133.0,15.0,117.0,27.0,10.0,1269,1269,1369,1369
Brooklyn,3044000,36047044000.0,1.0,1.0,-2.0,0.0,0.0,,-3.0,-1.0,4.0,12.0,0.0,0.0,0.0,-1.0,3.0,-1.0,-5.0,1047,1047,1058,1058
Brooklyn,3044100,36047044100.0,,,,,1.0,,9.0,-2.0,17.0,8.0,22.0,,0.0,6.0,69.0,0.0,1.0,1917,1917,1972,1972
Brooklyn,3044200,36047044200.0,-3.0,-2.0,1.0,0.0,-3.0,0.0,1.0,-1.0,2.0,1.0,0.0,4.0,-4.0,0.0,-1.0,9.0,4.0,1041,1041,1043,1043
Brooklyn,3044300,36047044300.0,57.0,57.0,-2.0,,-2.0,1.0,8.0,-8.0,8.0,81.0,23.0,41.0,0.0,58.0,46.0,8.0,3.0,1938,1938,2145,2145
Brooklyn,3044400,36047044400.0,1.0,1.0,0.0,-1.0,0.0,-2.0,0.0,5.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,1.0,-2.0,1371,1371,1371,1371
Brooklyn,3044600,36047044600.0,,,,,,0.0,-1.0,,,,1.0,1.0,1.0,,18.0,,,754,754,755,755
Brooklyn,3045200,36047045200.0,0.0,0.0,-4.0,1.0,-1.0,-1.0,-3.0,-2.0,2.0,-2.0,1.0,-2.0,-2.0,-2.0,4.0,0.0,-1.0,1053,1053,1042,1042
Brooklyn,3045400,36047045400.0,,,,-2.0,,,1.0,0.0,,,-2.0,,0.0,-1.0,2.0,0.0,-1.0,693,693,690,690
Brooklyn,3045600,36047045600.0,0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-2.0,0.0,0.0,0.0,-1.0,-4.0,0.0,960,960,956,956
Brooklyn,3046000,36047046000.0,,,-1.0,1.0,0.0,,,,12.0,1.0,0.0,,1.0,,39.0,2.0,3.0,1323,1323,1336,1336
Brooklyn,3047000,36047047000.0,1.0,2.0,-1.0,0.0,-1.0,-4.0,5.0,-1.0,1.0,2.0,,31.0,3.0,-1.0,1.0,-1.0,-16.0,797,797,830,830
Brooklyn,3047200,36047047200.0,2.0,1.0,3.0,0.0,2.0,-3.0,0.0,3.0,8.0,-3.0,-5.0,-1.0,0.0,2.0,4.0,0.0,1.0,881,881,887,887
Brooklyn,3047600,36047047600.0,0.0,0.0,5.0,5.0,2.0,,0.0,1.0,-3.0,1.0,19.0,1.0,2.0,-3.0,11.0,5.0,5.0,1058,1058,1089,1089
Brooklyn,3049500,36047049500.0,8.0,8.0,3.0,67.0,0.0,4.0,9.0,68.0,41.0,75.0,8.0,10.0,29.0,7.0,64.0,17.0,29.0,1237,1237,1530,1530
Brooklyn,3049900,36047049900.0,33.0,64.0,,9.0,-1.0,10.0,-3.0,49.0,59.0,21.0,1.0,103.0,79.0,34.0,84.0,20.0,49.0,971,971,1252,1252
Brooklyn,3050300,36047050300.0,21.0,28.0,14.0,,19.0,40.0,47.0,0.0,-3.0,0.0,8.0,21.0,11.0,111.0,49.0,38.0,9.0,1283,1283,1450,1450
Brooklyn,3050500,36047050500.0,32.0,32.0,58.0,24.0,21.0,57.0,14.0,25.0,92.0,8.0,33.0,10.0,42.0,52.0,20.0,62.0,31.0,1830,1830,2204,2204
Brooklyn,3051001,36047051001.0,-2.0,-2.0,,4.0,,,,4.0,,,,1.0,,,31.0,13.0,0.0,1405,1405,1412,1412
Brooklyn,3051400,36047051400.0,17.0,17.0,,,-1.0,,8.0,,2.0,38.0,,72.0,5.0,,0.0,,0.0,2674,2674,2810,2810
Brooklyn,3051601,36047051601.0,,,,0.0,,-1.0,0.0,8.0,,25.0,-4.0,,0.0,36.0,34.0,,18.0,1928,1928,1956,1956
Brooklyn,3051602,36047051602.0,4.0,4.0,,1.0,,,,-2.0,,-3.0,15.0,,,6.0,4.0,1.0,1.0,1359,1359,1374,1374
Brooklyn,3051700,36047051700.0,12.0,12.0,81.0,15.0,351.0,62.0,14.0,-2.0,59.0,49.0,15.0,,7.0,,52.0,,0.0,1078,1078,1734,1734
Brooklyn,3051800,36047051800.0,19.0,19.0,0.0,,,-4.0,-2.0,33.0,,12.0,48.0,-4.0,,15.0,,35.0,4.0,1378,1378,1480,1480
