boro,nta2010,ntaname2010,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Brooklyn,BK09,Brooklyn Heights-Cobble Hill,0.0,-3.0,99.0,22.0,30.0,-30.0,53.0,177.0,62.0,-125.0,526.0,152.0,4.0,-6.0,196.0,348.0,210.0,12374,12374,13340,13340
Brooklyn,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4.0,5.0,-5.0,2.0,-1.0,-1.0,-1.0,-1.0,-3.0,6.0,13.0,-1.0,10.0,-5.0,33.0,21.0,72.0,18324,18324,18336,18336
Bronx,BX49,Pelham Parkway,19.0,22.0,4.0,3.0,3.0,-1.0,-1.0,-6.0,142.0,23.0,8.0,1.0,164.0,0.0,19.0,9.0,10.0,12116,12116,12311,12311
Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,144.0,168.0,146.0,0.0,51.0,35.0,22.0,472.0,313.0,66.0,105.0,-3.0,259.0,17.0,272.0,15.0,33.0,18566,18566,19917,19917
Queens,QN46,Bayside-Bayside Hills,19.0,34.0,58.0,11.0,15.0,44.0,6.0,6.0,11.0,28.0,32.0,40.0,75.0,15.0,80.0,38.0,72.0,16567,16567,16837,16837
Manhattan,MN04,Hamilton Heights,138.0,138.0,105.0,27.0,7.0,152.0,9.0,162.0,20.0,2.0,35.0,5.0,413.0,10.0,105.0,250.0,-59.0,20221,20221,20883,20883
Manhattan,MN33,East Harlem South,119.0,462.0,287.0,387.0,51.0,271.0,131.0,48.0,214.0,80.0,71.0,560.0,446.0,7.0,729.0,17.0,287.0,24391,24391,26610,26610
Queens,QN71,Old Astoria,388.0,473.0,138.0,137.0,173.0,49.0,120.0,230.0,185.0,206.0,574.0,88.0,451.0,155.0,1893.0,803.0,767.0,12529,12800,14817,15088
Manhattan,MN99,park-cemetery-etc-Manhattan,0.0,0.0,,0.0,0.0,,,,,,0.0,-112.0,1.0,-1.0,-32.0,,,120,120,8,8
Queens,QN72,Steinway,60.0,76.0,35.0,42.0,93.0,32.0,19.0,19.0,107.0,100.0,2.0,13.0,282.0,21.0,195.0,90.0,91.0,22368,22914,22890,23436
Queens,QN47,Ft. Totten-Bay Terrace-Clearview,5.0,9.0,4.0,0.0,-1.0,5.0,3.0,0.0,2.0,5.0,1.0,8.0,18.0,-1.0,84.0,5.0,31.0,10963,10963,10995,10995
Manhattan,MN11,Central Harlem South,414.0,528.0,168.0,38.0,21.0,353.0,-63.0,38.0,73.0,-8.0,-16.0,257.0,25.0,89.0,994.0,26.0,127.0,20687,20687,21962,21962
Manhattan,MN34,East Harlem North,323.0,464.0,338.0,3.0,221.0,340.0,-16.0,47.0,259.0,231.0,228.0,289.0,745.0,65.0,750.0,838.0,508.0,24337,24337,26600,26600
Queens,QN22,Flushing,275.0,276.0,205.0,140.0,283.0,374.0,85.0,255.0,124.0,101.0,752.0,96.0,919.0,265.0,1822.0,698.0,1041.0,29129,29129,31819,31819
Brooklyn,BK34,Sunset Park East,100.0,158.0,143.0,49.0,62.0,23.0,2.0,42.0,42.0,65.0,128.0,133.0,101.0,38.0,263.0,147.0,190.0,21135,21135,21924,21924
Queens,QN42,Oakland Gardens,21.0,22.0,22.0,10.0,12.0,7.0,18.0,12.0,12.0,10.0,7.0,17.0,7.0,4.0,35.0,7.0,25.0,11664,11664,11812,11812
Brooklyn,BK32,Sunset Park West,63.0,66.0,52.0,21.0,57.0,40.0,34.0,39.0,17.0,49.0,14.0,63.0,72.0,299.0,477.0,170.0,276.0,17238,17238,17687,17687
Bronx,BX30,Kingsbridge Heights,133.0,143.0,,-3.0,9.0,34.0,-17.0,1.0,99.0,138.0,-2.0,-8.0,205.0,32.0,218.0,110.0,5.0,11112,11112,11496,11496
Bronx,BX36,University Heights-Morris Heights,125.0,133.0,123.0,151.0,1.0,141.0,61.0,-1.0,63.0,-6.0,22.0,70.0,840.0,218.0,320.0,142.0,405.0,18961,18961,19711,19711
Staten Island,SI35,New Brighton-Silver Lake,5.0,6.0,4.0,3.0,9.0,0.0,-297.0,18.0,-4.0,7.0,23.0,0.0,14.0,10.0,17.0,0.0,7.0,6748,6748,6516,6516
Staten Island,SI22,West New Brighton-New Brighton-St. George,52.0,75.0,91.0,26.0,95.0,20.0,7.0,26.0,58.0,7.0,7.0,9.0,137.0,6.0,174.0,46.0,54.0,13470,13470,13868,13868
Queens,QN37,Kew Gardens Hills,16.0,20.0,9.0,7.0,6.0,6.0,5.0,9.0,30.0,54.0,6.0,7.0,49.0,5.0,68.0,62.0,71.0,14237,14237,14392,14392
Queens,QN25,Corona,63.0,100.0,118.0,96.0,43.0,27.0,55.0,64.0,70.0,182.0,60.0,38.0,72.0,167.0,164.0,59.0,114.0,17782,17817,18598,18633
Queens,QN26,North Corona,193.0,215.0,134.0,51.0,98.0,63.0,9.0,58.0,11.0,34.0,18.0,36.0,13.0,66.0,339.0,81.0,25.0,13144,13712,13849,14417
Manhattan,MN22,East Village,105.0,107.0,-1.0,-29.0,158.0,217.0,86.0,39.0,87.0,-57.0,183.0,4.0,99.0,-3.0,117.0,21.0,107.0,24653,24653,25445,25445
Bronx,BX75,Crotona Park East,207.0,206.0,187.0,129.0,40.0,9.0,120.0,339.0,516.0,141.0,194.0,508.0,246.0,40.0,171.0,307.0,24.0,7498,7498,9888,9888
Staten Island,SI07,Westerleigh,5.0,6.0,18.0,15.0,5.0,9.0,11.0,7.0,8.0,12.0,12.0,17.0,17.0,-1.0,42.0,2.0,9.0,9532,9532,9651,9651
Staten Island,SI28,Port Richmond,3.0,3.0,8.0,14.0,6.0,22.0,5.0,74.0,24.0,55.0,45.0,5.0,40.0,-1.0,85.0,39.0,12.0,6887,6887,7148,7148
Manhattan,MN28,Lower East Side,290.0,345.0,85.0,117.0,14.0,222.0,-20.0,208.0,448.0,1146.0,46.0,272.0,545.0,380.0,465.0,19.0,35.0,31846,31846,34674,34674
Brooklyn,BK19,Brighton Beach,14.0,38.0,14.0,78.0,72.0,68.0,9.0,116.0,58.0,49.0,69.0,19.0,36.0,29.0,123.0,69.0,57.0,16707,16707,17273,17273
Brooklyn,BK23,West Brighton,,,,,,,0.0,0.0,,,576.0,115.0,,,0.0,,2.0,9408,9408,10099,10099
Queens,QN17,Forest Hills,0.0,14.0,33.0,5.0,30.0,40.0,122.0,10.0,9.0,71.0,34.0,-1.0,81.0,220.0,756.0,29.0,147.0,41845,41845,42198,42198
Queens,QN18,Rego Park,24.0,74.0,34.0,78.0,12.0,18.0,319.0,18.0,84.0,109.0,1.0,0.0,61.0,336.0,159.0,371.0,77.0,12836,12836,13533,13533
Manhattan,MN20,Murray Hill-Kips Bay,132.0,129.0,3.0,3.0,158.0,114.0,56.0,96.0,162.0,42.0,22.0,-5.0,495.0,-3.0,474.0,77.0,167.0,31472,31472,32255,32255
Queens,QN28,Jackson Heights,30.0,39.0,60.0,15.0,60.0,4.0,10.0,27.0,50.0,6.0,11.0,7.0,30.0,79.0,205.0,20.0,195.0,38744,39571,39024,39851
Queens,QN63,Woodside,71.0,73.0,140.0,17.0,-4.0,17.0,17.0,43.0,53.0,18.0,44.0,11.0,59.0,208.0,217.0,193.0,38.0,17180,17404,17607,17831
Bronx,BX14,East Concourse-Concourse Village,114.0,278.0,29.0,109.0,226.0,32.0,1.0,127.0,76.0,146.0,52.0,219.0,299.0,83.0,330.0,29.0,149.0,22595,22595,23726,23726
Queens,QN35,Briarwood-Jamaica Hills,80.0,105.0,193.0,13.0,58.0,8.0,24.0,55.0,24.0,9.0,549.0,55.0,446.0,51.0,220.0,102.0,153.0,14343,14343,15411,15411
Queens,QN60,Kew Gardens,6.0,16.0,81.0,70.0,6.0,2.0,-2.0,162.0,4.0,0.0,29.0,43.0,76.0,113.0,76.0,43.0,45.0,11019,11019,11420,11420
Queens,QN70,Astoria,258.0,350.0,204.0,147.0,51.0,286.0,56.0,231.0,87.0,334.0,121.0,149.0,246.0,81.0,657.0,218.0,212.0,37717,38238,39641,40162
Queens,QN62,Queensboro Hill,19.0,39.0,11.0,43.0,22.0,38.0,34.0,56.0,25.0,33.0,65.0,39.0,15.0,8.0,63.0,22.0,27.0,6861,6861,7246,7246
Brooklyn,BK76,Greenpoint,245.0,315.0,77.0,112.0,143.0,328.0,53.0,349.0,460.0,1308.0,130.0,697.0,1220.0,196.0,3398.0,952.0,294.0,17594,17594,21496,21496
Bronx,BX44,Williamsbridge-Olinville,81.0,132.0,270.0,92.0,176.0,100.0,9.0,200.0,60.0,36.0,35.0,141.0,250.0,92.0,624.0,164.0,135.0,23185,23185,24385,24385
Staten Island,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,0.0,10.0,32.0,4.0,18.0,21.0,30.0,11.0,9.0,12.0,43.0,26.0,13.0,5.0,48.0,1.0,43.0,10718,10718,10924,10924
Manhattan,MN09,Morningside Heights,-35.0,-35.0,0.0,1.0,0.0,1.0,-19.0,418.0,-37.0,-6.0,219.0,379.0,79.0,-14.0,734.0,135.0,0.0,22433,22433,23354,23354
Queens,QN12,Hammels-Arverne-Edgemere,64.0,98.0,140.0,93.0,83.0,89.0,104.0,59.0,165.0,292.0,215.0,9.0,686.0,2.0,160.0,66.0,41.0,13989,13989,15302,15302
Queens,QN15,Far Rockaway-Bayswater,1.0,7.0,22.0,16.0,77.0,10.0,3.0,-3.0,16.0,95.0,-5.0,38.0,801.0,479.0,1547.0,76.0,137.0,17805,17805,18075,18075
Bronx,BX01,Claremont-Bathgate,180.0,180.0,539.0,2.0,138.0,25.0,0.0,7.0,7.0,100.0,480.0,190.0,50.0,57.0,344.0,181.0,155.0,10423,10423,12091,12091
Manhattan,MN35,Washington Heights North,46.0,45.0,116.0,4.0,1.0,-7.0,17.0,3.0,24.0,8.0,2.0,0.0,172.0,307.0,115.0,-4.0,627.0,26657,26657,26871,26871
Manhattan,MN36,Washington Heights South,-5.0,-10.0,-8.0,-39.0,9.0,53.0,63.0,60.0,21.0,113.0,106.0,13.0,255.0,-16.0,31.0,7.0,-5.0,30827,30827,31213,31213
Bronx,BX37,Van Nest-Morris Park-Westchester Square,15.0,21.0,18.0,14.0,-6.0,6.0,2.0,-12.0,20.0,2.0,32.0,4.0,13.0,23.0,17.0,1.0,70.0,10779,10779,10874,10874
Bronx,BX59,Westchester-Unionport,125.0,121.0,112.0,3.0,57.0,28.0,134.0,13.0,-5.0,7.0,95.0,194.0,318.0,94.0,103.0,205.0,19.0,9913,9913,10676,10676
Bronx,BX34,Melrose South-Mott Haven North,144.0,144.0,645.0,416.0,9.0,26.0,63.0,201.0,2.0,156.0,183.0,200.0,663.0,69.0,788.0,79.0,88.0,13532,13532,15577,15577
Brooklyn,BK30,Dyker Heights,10.0,12.0,13.0,3.0,2.0,8.0,12.0,19.0,4.0,8.0,7.0,8.0,19.0,0.0,229.0,10.0,13.0,17562,17562,17656,17656
Brooklyn,BK31,Bay Ridge,17.0,17.0,5.0,37.0,0.0,7.0,35.0,-1.0,23.0,7.0,24.0,28.0,28.0,47.0,74.0,67.0,65.0,39069,39069,39251,39251
Staten Island,SI05,New Springville-Bloomfield-Travis,6.0,10.0,10.0,28.0,19.0,99.0,87.0,68.0,69.0,18.0,22.0,21.0,214.0,3.0,36.0,7.0,14.0,14268,14268,14715,14715
Staten Island,SI25,Oakwood-Oakwood Beach,25.0,29.0,-1.0,-31.0,9.0,-45.0,-5.0,-3.0,6.0,3.0,23.0,29.0,7.0,3.0,28.0,-53.0,-20.0,8698,8698,8708,8708
Staten Island,SI54,Great Kills,40.0,66.0,28.0,10.0,26.0,27.0,13.0,17.0,39.0,27.0,30.0,24.0,93.0,4.0,90.0,12.0,202.0,15832,15832,16113,16113
Staten Island,SI14,Grasmere-Arrochar-Ft. Wadsworth,8.0,6.0,8.0,12.0,4.0,4.0,5.0,5.0,8.0,36.0,23.0,21.0,19.0,0.0,15.0,1.0,3.0,6247,6247,6381,6381
Staten Island,SI37,Stapleton-Rosebank,133.0,132.0,56.0,111.0,47.0,17.0,35.0,582.0,73.0,-5.0,29.0,26.0,454.0,22.0,211.0,236.0,800.0,9886,9886,10990,10990
Queens,QN43,Bellerose,7.0,10.0,8.0,-1.0,9.0,14.0,5.0,5.0,1.0,4.0,4.0,5.0,10.0,3.0,11.0,0.0,188.0,8678,8678,8739,8739
Queens,QN44,Glen Oaks-Floral Park-New Hyde Park,0.0,0.0,-2.0,4.0,3.0,0.0,-1.0,6.0,-3.0,0.0,3.0,0.0,3.0,3.0,11.0,0.0,6.0,9748,9748,9758,9758
Queens,QN01,South Jamaica,57.0,74.0,43.0,33.0,21.0,14.0,54.0,5.0,23.0,39.0,30.0,32.0,65.0,20.0,93.0,52.0,58.0,13343,13343,13694,13694
Manhattan,MN19,Turtle Bay-East Midtown,21.0,92.0,-31.0,-119.0,-186.0,88.0,102.0,1118.0,525.0,489.0,623.0,5.0,37.0,-39.0,836.0,161.0,210.0,37427,37427,40062,40062
Manhattan,MN31,Lenox Hill-Roosevelt Island,32.0,32.0,180.0,-44.0,-45.0,-119.0,317.0,56.0,396.0,-29.0,-45.0,316.0,330.0,-40.0,181.0,-29.0,-80.0,51419,51419,52434,52434
