boro,nta2010,ntaname2010,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Manhattan,MN27,Chinatown,115.0,124.0,38.0,-7.0,10.0,-17.0,5.0,47.0,121.0,344.0,219.0,43.0,361.0,165.0,187.0,279.0,224.0,19565,19565,20483,20483
Bronx,BX06,Belmont,110.0,110.0,6.0,22.0,8.0,44.0,58.0,71.0,67.0,38.0,15.0,52.0,474.0,213.0,111.0,90.0,27.0,9675,9675,10166,10166
Bronx,BX17,East Tremont,60.0,64.0,221.0,122.0,7.0,131.0,317.0,138.0,-49.0,826.0,165.0,468.0,1111.0,-50.0,1134.0,305.0,97.0,15416,15416,17822,17822
Brooklyn,BK79,Ocean Hill,120.0,142.0,264.0,45.0,73.0,53.0,43.0,283.0,299.0,227.0,98.0,146.0,207.0,218.0,794.0,129.0,64.0,13266,13266,14917,14917
Brooklyn,BK81,Brownsville,158.0,161.0,16.0,178.0,102.0,52.0,2.0,8.0,262.0,5.0,16.0,224.0,436.0,460.0,1269.0,72.0,74.0,21363,21363,22386,22386
Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,657.0,848.0,547.0,87.0,94.0,1226.0,1323.0,711.0,1774.0,1144.0,221.0,1251.0,748.0,60.0,2779.0,433.0,120.0,16500,16500,25535,25535
Brooklyn,BK68,Fort Greene,40.0,125.0,181.0,209.0,349.0,-11.0,241.0,1301.0,480.0,312.0,167.0,6.0,583.0,197.0,479.0,48.0,28.0,12640,12640,15915,15915
Manhattan,MN03,Central Harlem North-Polo Grounds,84.0,122.0,448.0,160.0,41.0,-9.0,85.0,279.0,75.0,113.0,338.0,459.0,572.0,219.0,259.0,75.0,90.0,36324,36324,38397,38397
Manhattan,MN06,Manhattanville,-11.0,-25.0,-8.0,0.0,2.0,12.0,0.0,,48.0,0.0,9.0,7.0,-10.0,-1.0,137.0,7.0,94.0,8558,8558,8617,8617
Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,30.0,34.0,59.0,114.0,201.0,37.0,117.0,826.0,371.0,429.0,818.0,355.0,442.0,413.0,876.0,410.0,219.0,27180,27180,30537,30537
Brooklyn,BK63,Crown Heights South,0.0,0.0,0.0,103.0,6.0,-1.0,-2.0,-6.0,176.0,16.0,55.0,219.0,150.0,7.0,1486.0,83.0,88.0,15066,15066,15632,15632
Brooklyn,BK82,East New York,381.0,392.0,244.0,252.0,209.0,22.0,301.0,224.0,468.0,96.0,275.0,1018.0,1122.0,1003.0,1461.0,318.0,264.0,33772,33772,37262,37262
Brooklyn,BK93,Starrett City,,,,,,,,174.0,,,,,,,,,,6313,6313,6487,6487
Brooklyn,BK73,North Side-South Side,1474.0,2211.0,843.0,810.0,1338.0,844.0,1235.0,880.0,1483.0,798.0,1530.0,495.0,693.0,68.0,1964.0,928.0,484.0,21567,21567,33297,33297
Brooklyn,BK90,East Williamsburg,192.0,318.0,255.0,211.0,213.0,234.0,321.0,152.0,436.0,181.0,233.0,215.0,403.0,830.0,587.0,268.0,436.0,15861,15861,18504,18504
Manhattan,MN21,Gramercy,-3.0,3.0,161.0,1.0,33.0,82.0,-24.0,34.0,2.0,267.0,66.0,13.0,150.0,50.0,166.0,99.0,17.0,17194,17194,17826,17826
Manhattan,MN50,Stuyvesant Town-Cooper Village,0.0,0.0,,,0.0,,11.0,5.0,,0.0,,,,,0.0,,,11224,11224,11240,11240
